Data Source,World Development Indicators,...3
West Bank and Gaza,PSE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Pacific island small states,PSS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",317.428244615833,"","","","","","","","","","","","","",453.386455781781,404.694054761991,392.885398313871,377.988501802454,"","","","","","","","","","","","","","","","","
Post-demographic dividend,PST,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2808.74529774361,2845.68852395772,2967.03255948651,3126.48165159607,3236.20464011576,3322.45396271313,3452.06615376885,3598.60205138621,3790.19624191626,4002.90752708479,4341.01449841706,4136.25056026446,4302.9518252623,4497.88396425099,4396.00036463901,4253.99875199358,4495.69124510968,4566.65959351426,4663.70373116469,4735.86031317229,4571.86054071477,4426.50049383937,4274.9901060072,4266.24423600763,4422.23430011325,4488.47259947103,4504.33489092804,4619.27721795846,4740.88154288334,4801.77706429878,4745.09072756707,4756.30187172062,4723.34052729897,4725.99819986728,4746.89194950969,4813.39207816412,4906.17039567359,4911.91813811518,4897.31127117353,4959.35511380672,5042.17070698556,5006.40357560694,5011.53068570564,5053.39562599947,5121.99717524325,5103.02265596087,5059.90853808395,5048.15857917191,4952.32157427858,4686.4944751485,4836.27549068776,4712.56871278557,4642.88836503342,4631.89061918571,4578.82822648721,4761.33482850889,"","","","","","","","","
French Polynesia,PYF,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Qatar,QAT,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",7049.57136113776,6950.53444910106,8851.7248410477,6940.55096356604,10570.2507159985,7310.00899297782,7704.65854362252,6706.60193211143,10888.1199984536,12002.9936972886,14124.7747425507,15438.5674895759,15063.2042194784,16170.6661530767,15431.1225884025,15684.9605932713,15582.375536832,15729.025638033,15571.5759104984,14827.0119838701,15877.2922240812,16078.5530717098,16170.7643252949,15746.6178405034,15843.9935838235,16344.9327906937,18482.3396911898,18382.8866227995,18478.1681632653,16930.9988232357,17800.9175056238,19193.6516194346,18977.3258921258,21548.3492212918,20189.7497964643,20137.8934265047,18315.4960925703,15940.0114090451,15062.3213456622,17096.10460456,19259.8240602772,22113.7364595997,21051.4755070115,20483.6302628797,"","","","","","","","","","
Romania,ROU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",2058.88038780217,2131.63973572024,2295.81101764804,2285.5902078939,2432.7308842293,2594.39251798727,2735.4391155472,2921.29955432585,2882.33415214729,2937.19812266985,2896.82244989167,2881.80799022377,2893.94714952405,2858.88203142795,2856.6103398852,2920.04086729859,3027.5652162167,3033.68468147378,2987.0590616532,2683.17889511756,2231.80614190896,2052.96292702153,2003.71567717833,1892.68150656411,2053.94209291284,2109.77242852957,1989.99418195761,1823.4591784797,1613.78232683815,1614.2097675036,1663.73928755551,1755.13002556407,1832.27860745221,1803.46324224954,1810.32726327805,1884.54512082802,1904.0968861631,1928.96636093072,1712.52609612565,1730.08767626366,1777.10615416442,1741.7226064268,1595.98938994909,1591.66765909995,"","","","","","","","","","
Russian Federation,RUS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",5941.58629656187,5870.23385736274,5356.50974005023,5059.864624912,4426.66819542613,4290.69346739168,4252.61161860894,4069.68729231577,3981.4994684392,4136.75114378464,4224.27719789841,4288.38263138853,4288.19385137335,4461.30531990288,4493.68721494055,4540.90815577671,4688.39102332011,4709.84488692751,4823.12599470293,4531.2864944658,4819.04078214698,5047.40404533843,5160.64157815854,5068.07949351749,4928.56622731845,"","","","","","","","","","
Rwanda,RWA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
South Asia,SAS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",254.370287182848,254.952017365061,256.993889787993,260.611299638411,263.509189057101,266.729879360999,267.8851034216,266.294033190797,271.947258256284,272.811090943137,279.435969069656,283.889595926879,286.431154270286,290.564857753528,298.064657292493,301.866141618384,307.343996193942,316.530120088875,323.868265022252,330.038776189663,334.954003106311,340.841208144598,343.119570297944,348.613426409324,360.57916114957,364.940685020629,371.162631727049,372.566930856679,385.668762115995,387.909999022007,386.827885993442,390.022776937991,393.996885262423,407.749977726132,416.479038360374,430.62292836871,447.090731855625,458.006921660438,490.610484018364,504.352306978145,516.485856024924,532.285414870443,537.427986264441,561.153020024176,"","","","","","","","","","
Saudi Arabia,SAU,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1975.84069520367,1600.41677313439,1761.38750187515,1871.8244290911,1924.57586627006,2114.78362947237,2234.08651659398,3173.45968023944,3935.98416325689,5142.27305337618,6589.51918612593,6947.2265017468,7147.14582677565,5937.72445350042,5642.15749715492,5324.77775463778,6015.44698831153,6529.6945269917,6208.46226953651,5451.1975773002,6049.87534881187,6582.43430381744,6537.31263499866,6590.46999068238,6359.01053822094,6540.26513900757,6001.00619529413,6160.66681923592,6048.96783398478,6048.86645969068,5894.42579150054,6211.36285091042,5992.19290897683,6090.78348792139,5960.56413725949,6328.09798936994,6273.21729627085,6721.96009966903,6881.05763671411,7735.64595631075,7098.80942697488,7655.99840207031,6957.03512061467,7541.88283111332,"","","","","","","","","","
Sudan,SDN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",580.546392853718,570.730059477057,564.474073926486,548.072440620429,530.899270647186,513.103069407804,510.520849807651,498.301338330423,482.838583969333,490.367054626308,475.018745178727,477.419780603782,476.750321955733,464.706468586135,475.671299403513,473.437811602959,456.650511395754,475.24180011279,465.348260373449,482.682704219575,472.122957048555,462.406718960822,439.152058945664,496.359874010707,485.53240794689,486.342087566001,485.902828550632,479.134528105164,518.810061534548,478.327712318605,488.764190334319,517.681868252422,492.008354954093,481.195198280491,479.129366853084,502.906390213811,474.879071277176,470.17967533885,473.068111409165,471.818002615264,460.901287038258,387.842915363353,387.157133878347,386.043511273302,"","","","","","","","","","
Senegal,SEN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",269.847392274087,265.658166989376,269.980580044015,269.467337994292,268.429317650426,267.183743098887,267.372350170942,261.817684177859,267.259172753488,267.015165838186,258.433992089589,249.34119283848,243.279314868012,249.146070292416,233.522815943712,237.427073858944,245.776830713137,227.041389548808,219.248815715162,218.430279917565,210.700754178005,217.792479428333,211.160812968779,204.189015915672,210.761043527871,210.638915965058,218.141658933408,225.020288432479,231.671480719075,240.548701578811,253.769579813535,251.457594885792,238.496411214591,249.30118377828,248.467354108488,243.368358554287,255.110640776514,260.145046555474,304.705152767737,303.215019564457,313.062369428509,302.388679008557,270.71635024206,279.657043172809,"","","","","","","","","","
Singapore,SGP,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",1292.24146907094,1569.47082326705,1711.83584131327,1795.97901157054,1640.48837620437,1693.24728557101,1763.23012084462,2214.63035350102,2130.84245856933,2125.96683023018,2124.85337576273,1987.08730813092,2195.89035833202,2455.48438431591,2472.96832516008,2630.75438295469,2757.88068930647,2981.12861493661,2896.50008649217,3782.72027598411,4167.36558489839,4588.84550645093,5487.60891524326,6460.481982119,5346.87556213552,5359.40980258828,5818.3490260108,5083.24962256949,4587.49349221959,4634.72585005488,5145.88575383542,5065.98450651947,6216.7391768206,7370.65287721784,5055.96631973373,5264.39865814355,4677.2043057151,5094.13571445693,4257.77627715925,5006.62099161429,5069.17179429009,4898.33046490716,4880.40607042352,5121.80431773157,"","","","","","","","","","
Solomon Islands,SLB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",160.852052438638,"","","","","","","","","","","","","",122.205342901871,120.062929535481,120.017738214868,127.960076456146,"","","","","","","","","","","","","","","","","
Sierra Leone,SLE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
El Salvador,SLV,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",466.267538482133,486.897003506784,502.681264010677,502.302297135424,548.508669807586,619.877871225634,626.116185597881,648.934916117333,620.741998237653,554.789002335046,595.484968162816,608.086097561978,573.949938468787,574.777464707713,536.15927085304,456.507200713672,499.472060648322,456.755249831933,459.1224082979,457.19190195947,493.957045551864,507.253730076702,526.942165815041,552.804460662334,582.912814720804,552.951740878916,607.836185948755,621.415420842912,641.196334060434,667.489601010606,695.444583331937,706.836950531944,736.391947519746,729.659127036269,750.567722207588,788.709330510424,745.205849622218,745.966237854927,696.496639787946,700.379631752092,704.605667500858,691.059744274388,649.766837019182,659.728003855293,"","","","","","","","","","
San Marino,SMR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Somalia,SOM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Serbia,SRB,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2496.15108350446,2201.63341160635,2031.40768297159,1734.11796812536,1588.26590697194,1807.97649373435,2174.54115847359,2299.28770508221,2302.98378182669,1686.92924951869,1826.35764771872,1994.46346758877,2118.79030900006,2223.78312087909,2424.40444439263,2159.57382899536,2300.73335349101,2248.15503566378,2289.99545864057,2070.2292793677,2141.0552050378,2236.71298313457,2019.71617845567,2080.2695521822,1859.11315074329,"","","","","","","","","","
Sub-Saharan Africa (excluding high income),SSA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",672.872960237832,670.74661581009,680.768053884651,679.8594387679,679.841879671295,681.546395381719,680.342309784446,685.657732620655,683.948848965919,690.804808412527,704.243005531734,715.136774277275,707.966522125498,714.928379986746,708.451844211393,709.521028295095,712.415973523875,714.414016672666,695.666165708701,681.085291665121,689.727021105274,667.826201360995,671.577900136912,662.667549418246,668.131351826793,671.525309150594,672.514543221567,662.390860344057,665.991435586243,643.509193407598,648.977864584112,642.750010000513,654.114619567459,666.110406529471,663.35562298965,657.026094084428,666.45101570913,681.784237963622,667.844958773996,671.190532976146,672.882053469416,666.739629250306,664.008951672486,666.92270057541,"","","","","","","","","","
South Sudan,SSD,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",59.8659940648405,60.64242551791,62.3255407419249,"","","","","","","","","","
Sub-Saharan Africa,SSF,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",672.872960237832,670.74661581009,680.768053884651,679.8594387679,679.841879671295,681.546395381719,680.342309784446,685.657732620655,683.948848965919,690.804808412527,704.243005531734,715.136774277275,707.966522125498,714.928379986746,708.451844211393,709.521028295095,712.415973523875,714.414016672666,695.666165708701,681.06100051412,689.727021105274,667.826201360995,671.577900136912,662.667549418246,668.131351826793,671.525309150594,672.514543221567,662.390860344057,665.991435586243,643.509193407598,648.977864584112,642.750010000513,654.114619567459,666.442417565779,663.633926997216,657.319659815824,666.677265591392,681.784237963622,667.844958773996,671.190532976146,672.882053469416,666.739629250306,664.008951672486,666.92270057541,"","","","","","","","","","
Small states,SST,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2109.33937741791,"","","","","","","","","","","","","",1893.57206367122,1949.81931236107,2081.78347603091,2177.47863302946,"","","","","","","","","","","","","","","","","
Sao Tome and Principe,STP,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",190.727223938852,"","","","","","","","","","","","","",240.956215719223,266.024907355279,265.639527161642,259.281084266352,"","","","","","","","","","","","","","","","","
Suriname,SUR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1323.17478699991,1387.99736928642,950.428052707577,994.204346641286,1073.40788406045,1217.11568938193,1144.28653878022,1070.37829368607,1117.47340598796,1109.11054366703,1304.3753398203,1256.05057984536,1385.64925981946,1215.97131911005,1199.41325018727,"","","","","","","","","","
Slovak Republic,SVK,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",3128.60198764704,3224.5194405805,3343.35449412844,3464.06608804162,3539.8793654076,3631.26079573534,3780.58944724937,3929.1570256384,3967.23812825055,3983.84277327571,3872.53655974107,3754.67958194291,3767.59667327249,3932.19242780076,4015.15217266642,3979.67418313779,4074.77904741482,4106.15042558978,4083.66221615022,4024.66906716068,3606.58243725503,3410.72788470384,3334.79434511263,3260.63182395553,3315.0479886326,3364.25879444914,3361.88402224587,3256.50253148307,3271.41393100841,3292.60900547811,3456.70547347611,3483.8675061076,3468.78367297716,3416.24785007483,3504.475593484,3469.29139368411,3320.45472221116,3405.69296775209,3106.68616513497,3306.80554391156,3213.94976718959,3080.72503425285,3130.92657414675,2943.18916025009,3003.66421998152,"","","","","","","","","
Slovenia,SVN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2857.56453058587,2778.95039033644,2584.33517088422,2715.3899141758,2827.91716073293,3049.38659371055,3180.2061521813,3310.40063324666,3253.80886129543,3242.4861765618,3224.3795014895,3381.11201469835,3424.45287862303,3463.52493043909,3571.1948651285,3645.83743652754,3648.98289274631,3632.56532558488,3836.62178501531,3496.22953528244,3579.07246130618,3567.98303620881,3424.04014468498,3330.99007598717,3236.23604496649,3174.87258490422,"","","","","","","","","
Sweden,SWE,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,2698.79230254537,2742.12346864986,2887.23625249088,3080.41407472166,3273.50896460338,3437.5407704284,3636.64385741586,3630.19413871321,4000.82327796324,4303.22391665136,4681.29983571644,4450.3825107732,4527.21372025165,4773.81140251259,4510.44301102151,4764.49901293107,5151.25136732047,5054.83376436399,5016.74041963609,5229.61827068762,4871.53323897113,5097.15446289726,4877.7998965318,4941.26701142858,5216.25781718097,5656.19289934621,5878.80146655326,5763.07044079619,5854.49966212248,5594.55297349665,5514.55753031809,5650.54137715952,5369.37035673582,5334.16649834761,5660.27142343844,5702.16504271753,5825.09791315415,5672.00817719794,5769.69506406865,5661.49145946307,5360.14514699943,5680.28048687269,5802.110105168,5650.43804975291,5847.3441632658,5711.12728266633,5529.07795326361,5472.13539172977,5379.9591025113,4883.20048954053,5427.92504600599,5274.6436131771,5269.48599771372,5146.53358997598,4966.43592120964,5102.78557831232,"","","","","","","","","
Eswatini,SWZ,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",353.953248688691,"","","","","","","","","","","","","",378.322317568972,369.779300144019,374.388161219288,387.822555136357,"","","","","","","","","","","","","","","","","
Sint Maarten (Dutch part),SXM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Seychelles,SYC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",540.808839397471,"","","","","","","","","","","","","",3103.97090027281,2751.69567211374,2872.34042553192,2410.82873707855,"","","","","","","","","","","","","","","","","
Syrian Arab Republic,SYR,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",360.428026639208,289.994731925935,291.553032787036,362.466859121137,404.126277208776,442.273566900165,475.042027681598,501.813082163239,629.062369507692,498.47689068008,575.757795008288,668.075596883618,740.369450839486,822.820190832916,737.087028472176,731.092797462183,785.459257209835,786.366525143215,763.604826645078,831.952774769286,878.384965018777,814.952458882778,794.708722712303,805.097594883318,827.679599660692,850.525938560553,899.574134450226,976.886886581279,948.157823661126,928.04657658472,928.997126207926,942.263978037514,924.712968022889,942.842496335935,1105.11929595748,1101.46273706879,1084.11470435079,1067.66231458932,977.909692642329,963.411725098467,869.474901278944,652.262284101992,537.06814864339,532.830210866228,"","","","","","","","","","
Turks and Caicos Islands,TCA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
Chad,TCD,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","
East Asia & Pacific (IDA & IBRD countries),TEA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",432.140021387959,441.553743707474,448.806853068416,450.261747283857,483.522097195456,491.412167081889,524.819202380143,557.550193682401,561.725635337544,554.860550322715,546.206479064167,552.967111783898,564.169704694765,584.831750567571,592.75313227992,607.567462688328,626.662355024636,648.627586975737,655.917146148702,700.051422425582,684.390506095941,700.341901126919,733.392493134834,755.276407353216,799.588299678162,817.045778626113,815.549892335103,806.624709136644,817.339391982467,841.543139318419,863.694966749528,911.040106386015,1009.504413657,1124.23813310918,1215.83082389041,1300.78385399749,1383.53081844081,1417.49785897813,1493.52457778684,1626.23114642431,1709.26538650741,1760.50701327976,1807.24234791977,1879.90415608688,"","","","","","","","","","
Europe & Central Asia (IDA & IBRD countries),TEC,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",3891.47966123996,3782.54954245986,3434.7770696957,3215.6709455205,2855.65784739683,2804.34672915372,2766.84794661976,2668.87010209891,2608.25701691205,2614.88938321649,2637.21384850605,2649.1890566422,2680.18210860916,2785.30513127831,2817.26674365048,2827.42731949901,2925.42874559852,2962.86702605559,2999.1029483167,2775.92221241522,2955.61212362133,3070.57043443853,3083.96295568291,3015.12002198284,3040.99959237622,"","","","","","","","","","
Togo,TGO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",313.529130586339,312.910221157789,304.761329152151,297.002500238876,301.957724279525,295.100151793391,305.74367462232,307.001287503414,311.334315073944,303.957281572012,300.650538342798,306.319786378482,288.870672025403,290.366135517579,286.606486140587,303.355569635666,311.464253803409,308.504666897629,308.720864209325,315.907852457299,314.375686419345,309.345885563101,312.741223728465,352.38127939303,355.093098082176,383.623570838776,366.311959924064,380.608334277943,423.024641274299,410.646071224779,399.013563922415,402.817407727745,414.74995258608,408.500611251665,405.800639937748,393.76571788693,397.036428485553,402.213317020506,475.533912862979,462.710338814632,453.003510170066,439.813281327457,440.172607235086,441.790711212521,"","","","","","","","","","
Thailand,THA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",370.608781828558,378.80378802839,400.725052748183,398.989024348701,423.558814904883,449.560063531793,468.077424377113,475.900783795447,492.262989352445,481.971815917197,477.492876942356,473.489046970563,426.657645391396,462.253423934183,492.103171798521,507.748530350073,551.219958557137,617.901231829316,679.983080823331,766.261370528866,818.655943047266,858.462302618872,891.968443252652,971.896138014043,1047.81395152396,1155.56238391201,1161.50147689773,1074.92324369098,1133.28331544355,1147.24405218622,1168.68539717143,1279.99042486205,1373.72755382047,1471.23364988111,1499.68662816572,1516.59361395567,1568.26753453834,1598.66546544113,1581.02756151253,1718.30045523698,1705.63030169254,1817.44692796534,1943.10160335625,1919.15336491277,"","","","","","","","","","
Tajikistan,TJK,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",983.140968457989,915.095723764055,733.383899175134,566.658684124155,427.115677498829,374.051875202569,354.114704584488,348.708408654378,364.427027602015,360.540689424116,341.8858551713,330.99379043874,325.701440167896,325.599996996354,345.278075536477,337.933808153976,341.882031283873,358.443845188469,334.381472372122,284.678307608712,284.360546937125,278.881911771378,292.830721514773,316.572030410173,332.88537059649,"","","","","","","","","","
Turkmenistan,TKM,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4658.22103185641,3942.06868757284,2632.08430373092,2602.71371416625,3231.88350173029,3266.72485202936,2805.29919304736,2761.67550204878,2840.04401308058,3301.51641634221,3246.926414408,3242.87800275869,3316.84497108166,3626.30274483358,3714.08059509977,3795.38867480415,3815.4863753508,4267.30715176793,4236.19647339612,3647.19315018439,4076.86531918518,4342.35284864721,4396.53813536124,4412.07096881624,4402.91950185695,"","","","","","","","","","
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",795.556522001225,816.693166227576,854.47430779211,883.932365446645,889.255510055457,911.869421041973,935.001950377378,970.463218509554,1003.18406826056,1040.69437544825,1029.12696094669,1027.08369837631,1003.14243814271,1022.36463947118,1025.25896974316,1028.0217569168,1047.43808917725,1042.46980489625,1044.69568596857,1037.50273760788,1051.84179383262,1065.43867396337,1056.29705316248,1093.92236654273,1085.11395182633,1114.97947675052,1140.6208408696,1160.59971462205,1157.77578125774,1152.93596940968,1151.20935748767,1156.57934169298,1169.8965267155,1203.57145608696,1235.45304811767,1277.42274752527,1285.05620704141,1312.88314485208,1286.95245392491,1341.43977318944,1354.57383865187,1396.72196358961,1408.51914595468,1371.1397277178,"","","","","","","","","","
Timor-Leste,TLS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",62.4277506420371,61.1613700568695,60.4138656989526,60.7032219478967,"","","","","","","","","","","","","","","","","
Middle East & North Africa (IDA & IBRD countries),TMN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",333.371810209035,338.477095462983,378.550041541112,417.483063770173,442.531908725197,486.590186954096,518.401536764358,529.155670438172,588.464211180707,588.419557021035,624.986948922553,685.158346150854,665.787104012183,708.625518096168,736.305872989296,740.214169237313,742.186036524056,749.29406282245,795.920737253246,804.16957481801,815.873994558834,855.865675870309,902.269416258612,945.181367583543,960.536294062675,943.917749213666,1011.16329818779,980.424282445379,1005.81882167601,987.263669855502,1041.78427429456,1050.94572775092,1056.66499313769,1109.19634159854,1188.17613311374,1208.0699215887,1239.27046902714,1288.09790169152,1300.37290569479,1290.84787888531,1276.94692097215,1308.18878190183,1303.24287784186,1423.23837758237,"","","","","","","","","","
Tonga,TON,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",254.218294884654,"","","","","","","","","","","","","",542.490316071989,539.410055739039,536.455441258129,543.447707212863,"","","","","","","","","","","","","","","","","
South Asia (IDA & IBRD),TSA,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",254.370287182848,254.952017365061,256.993889787993,260.611299638411,263.509189057101,266.729879360999,267.8851034216,266.294033190797,271.947258256284,272.811090943137,279.435969069656,283.889595926879,286.431154270286,290.564857753528,298.064657292493,301.866141618384,307.343996193942,316.530120088875,323.868265022252,330.038776189663,334.954003106311,340.841208144598,343.119570297944,348.613426409324,360.57916114957,364.940685020629,371.162631727049,372.566930856679,385.668762115995,387.909999022007,386.827885993442,390.022776937991,393.996885262423,407.749977726132,416.479038360374,430.62292836871,447.090731855625,458.006921660438,490.610484018364,504.352306978145,516.485856024924,532.285414870443,537.427986264441,561.153020024176,"","","","","","","","","","
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",672.872960237832,670.74661581009,680.768053884651,679.8594387679,679.841879671295,681.546395381719,680.342309784446,685.657732620655,683.948848965919,690.804808412527,704.243005531734,715.136774277275,707.966522125498,714.928379986746,708.451844211393,709.521028295095,712.415973523875,714.414016672666,695.666165708701,681.06100051412,689.727021105274,667.826201360995,671.577900136912,662.667549418246,668.131351826793,671.525309150594,672.514543221567,662.390860344057,665.991435586243,643.509193407598,648.977864584112,642.750010000513,654.114619567459,666.442417565779,663.633926997216,657.319659815824,666.677265591392,681.784237963622,667.844958773996,671.190532976146,672.882053469416,666.739629250306,664.008951672486,666.92270057541,"","","","","","","","","","
Trinidad and Tobago,TTO,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",2630.68767236693,2646.71634541014,2567.26996422633,2569.86474320233,2203.54561928258,2417.39229924478,2704.98279845195,3208.67127622601,3280.7764984801,3412.48003109444,3580.49724613525,3561.3719339296,3651.21401010225,4081.38218424122,4287.50023160508,4422.7020656225,4112.53248822866,4465.17796969113,4295.33746778351,4781.40851999029,4714.59413977979,5144.16902445123,4889.31842001271,4887.70907702231,4747.9402301939,5590.17562847444,5249.85679671873,6075.33209944857,7069.44507829876,7455.24839858946,8289.26187812461,8976.25394985477,9988.52103033594,10433.2463690556,12449.8105051086,13854.1200544862,14676.0735979767,14190.3862716044,14327.956669155,15228.2756349253,14866.7564244186,14415.5448571518,14620.8881830463,14545.0052514489,"","","","","","","","","","
Tunisia,TUN,"Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,"","","","","","","","","","","",314.665073252576,335.263946994352,340.6081944766,369.582494968049,372.182991617776,386.589514680188,408.822321107888,437.979741306212,464.858770782999,494.677950015099,498.910966156498,480.240834595279,534.645439337662,553.446073181825,561.696421667058,540.03466441658,535.31450052484,549.342273564037,534.893261004507,594.261114979874,576.237672208574,627.455395397092,598.634553749135,635.47985196566,633.57270366144,652.764257138037,664.204719745852,714.803817823447,730.111227642442,748.178047268108,781.294666481993,783.595872843796,797.049078044154,832.441207169313,810.730603135575,845.870693312946,865.644030063298,894.170954415096,859.835441508388,955.020444028319,901.472391003703,930.468615387941,934.597577441392,932.694818510934,"","","","","","","","","","
